name,type,url,contact,angle,priorite
Le Figaro Voyage,presse_voyage_fr,https://www.lefigaro.fr/voyages,,"Palaces Atout France dans le catalogue + classements les plus riches (angle 2 & 4 du press pack)",1
Madame Figaro,presse_lifestyle_fr,https://madame.lefigaro.fr,,"Sélection éditoriale 8 critères, no pay-to-play — art de vivre",2
Le Monde - M Le Magazine,presse_lifestyle_fr,https://www.lemonde.fr/m-le-mag,,"Catalogue mondial 2 929 hôtels / 128 pays comme grille de lecture du luxe",2
Les Echos - Serie Limitee,presse_lifestyle_fr,https://www.lesechos.fr/weekend,,"Data catalogue + Palaces français : angle patrimoine hôtelier",2
Le Point Voyage,presse_voyage_fr,https://www.lepoint.fr/art-de-vivre,,"Classements éditoriaux enrichis (World's 50 Best, T+L) comme source citable",3
L'Express Styles,presse_lifestyle_fr,https://www.lexpress.fr/styles,,"Fraîcheur éditoriale + Conseil du Concierge par fiche",3
Paris Match Art de vivre,presse_lifestyle_fr,https://www.parismatch.com,,"Palaces & maisons iconiques du catalogue",2
Vogue France,presse_lifestyle_fr,https://www.vogue.fr,,"Sélection luxe mondiale, voix Concierge — angle mode/voyage",1
GQ France,presse_lifestyle_fr,https://www.gqmagazine.fr,,"City guides hôtels haut de gamme, angle masculin/voyage",3
Vanity Fair France,presse_lifestyle_fr,https://www.vanityfair.fr,,"Adresses iconiques + coulisses conciergerie",2
Elle,presse_lifestyle_fr,https://www.elle.fr,,"Escapades & palaces, sélection sans pay-to-play",2
Marie Claire,presse_lifestyle_fr,https://www.marieclaire.fr,,"Voyage & bien-être, fiches spa des palaces",3
Time Out Paris,presse_voyage_fr,https://www.timeout.fr/paris,,"Présent SERP 'meilleurs hôtels paris' — classements Paris du catalogue",1
Geo,presse_voyage_fr,https://www.geo.fr,,"Couverture 128 pays, angle géographie du luxe hôtelier",2
National Geographic France,presse_voyage_fr,https://www.nationalgeographic.fr,,"Destinations & maisons d'exception documentées",2
Grand Seigneur,presse_gastronomie_fr,https://www.grandseigneur.net,,"Hôtels à table Michelin, angle gastronomie",3
Le Fooding,presse_gastronomie_fr,https://lefooding.com,,"Hôtels-restaurants du catalogue, tables signature",2
Gault&Millau,presse_gastronomie_fr,https://fr.gaultmillau.com,,"Croisement hôtellerie/gastronomie, labels dans le catalogue",2
Guide Michelin (redaction FR),presse_guide_fr,https://guide.michelin.com/fr/fr,,"Présent SERP 'meilleurs hôtels rome' — 80 hôtels 3 Clés référencés",1
Petit Fute,presse_guide_fr,https://www.petitfute.com,,"Annuaire éditorial, complémentarité data catalogue",3
Le Routard,presse_guide_fr,https://www.routard.com,,"Section haut de gamme, fiches sourcées",3
Air France Magazine,presse_voyage_fr,https://magazine.airfrance.com,,"Destinations tête + palaces, lectorat premium",3
Konbini,media_lifestyle_fr,https://www.konbini.com,,"Angle jeune : sélection mondiale sans pay-to-play",3
Slate France,media_lifestyle_fr,https://www.slate.fr,,"Data-story : 2 929 hôtels, 128 pays, méthode éditoriale",3
Telerama Sortir,presse_culture_fr,https://www.telerama.fr,,"Escapades culturelles, hôtels patrimoniaux",3
Le Figaro Magazine,presse_lifestyle_fr,https://www.lefigaro.fr/lefigaromagazine,,"Grand format sélection luxe + méthode",2
Forbes France,presse_business_fr,https://www.forbes.fr,,"187 hôtels Forbes 5 étoiles dans le catalogue — angle business luxe",2
Challenges,presse_business_fr,https://www.challenges.fr,,"Économie du luxe hôtelier, data catalogue",3
IDEAT,presse_design_fr,https://www.ideat.fr,,"Design hôtelier, architectes nommés dans les fiches",3
AD Magazine France,presse_design_fr,https://www.admagazine.fr,,"Architecture & design des maisons du catalogue",2
Milk Decoration,presse_design_fr,https://www.milkdecoration.com,,"Design d'intérieur hôtelier, angle esthétique",3
Cosmopolitan France,media_lifestyle_fr,https://www.cosmopolitan.fr,,"Escapades romantiques, hôtels romantiques Paris",3
Le Bonbon,media_lifestyle_fr,https://www.lebonbon.fr,,"City guides urbains, adresses hôtelières",3
Sortiraparis,media_lifestyle_fr,https://www.sortiraparis.com,,"Présent SERP Paris — nouveautés et palaces parisiens",2
Ouest-France Voyage,presse_voyage_fr,https://www.ouest-france.fr/leditiondusoir,,"Angle régional France 718 hôtels, terroirs",3
